                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3167,                0.74959,                 1.3067,                0.89287,                0.70134,                0.77974,                0.45793,                 1.4052,                0.74867,                 1.3143,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3143,                0.73568,                 1.2928,                0.89723,                0.69898,                0.78052,                0.45299,                 1.4017,                0.73399,                 1.3273,               0.001307,               0.001307,               0.001307
                     37,                 1.3111,                0.73415,                 1.3036,                0.88253,                0.69976,                0.78305,                0.44297,                 1.4402,                0.74999,                 1.3395,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2983,                0.73185,                 1.3016,                0.86926,                0.69898,                0.78669,                0.45828,                 1.3984,                 0.7198,                 1.3138,              0.0012674,              0.0012674,              0.0012674
                     39,                  1.274,                0.71965,                 1.2833,                0.86447,                0.69365,                0.77256,                0.44292,                 1.4352,                0.74107,                 1.3518,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2715,                0.71668,                 1.2738,                0.85522,                0.72618,                0.79473,                0.45264,                 1.4119,                  0.734,                 1.3276,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2693,                0.70696,                 1.2693,                0.85581,                0.70628,                0.78349,                0.45116,                 1.4096,                0.72499,                 1.3366,               0.001208,               0.001208,               0.001208
                     42,                  1.256,                0.69234,                 1.2635,                0.85496,                0.70605,                0.78634,                0.45846,                 1.4127,                0.73064,                 1.3257,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2656,                0.70321,                 1.2691,                0.85807,                0.70033,                0.77659,                0.44922,                 1.4308,                0.74147,                 1.3482,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2286,                0.67675,                 1.2477,                0.84512,                0.72498,                0.77897,                0.45251,                 1.4146,                 0.7159,                 1.3445,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2219,                0.67389,                  1.237,                0.82732,                0.72734,                0.77888,                0.45071,                 1.4062,                0.70974,                 1.3391,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2155,                0.66319,                 1.2315,                0.89031,                0.69898,                0.79396,                0.46039,                 1.4058,                0.70011,                 1.3444,               0.001109,               0.001109,               0.001109
                     47,                 1.2047,                0.66781,                 1.2253,                0.86603,                0.71824,                0.79212,                0.46106,                 1.4236,                 0.7229,                  1.355,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1962,                0.66294,                 1.2289,                0.86676,                0.71254,                0.79087,                0.45509,                 1.4056,                0.71376,                 1.3495,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1856,                0.65037,                 1.2176,                0.85985,                0.72036,                0.78948,                0.45763,                 1.3958,                0.70818,                 1.3515,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1765,                0.64923,                 1.2112,                 0.8485,                0.73704,                0.79491,                0.45616,                 1.4109,                0.70385,                 1.3607,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1774,                0.64491,                 1.2019,                0.83509,                0.74622,                0.79106,                0.45199,                 1.4226,                0.70505,                 1.3626,                0.00101,                0.00101,                0.00101
                     52,                 1.1635,                0.63793,                 1.1951,                0.85561,                0.72845,                0.78646,                0.45101,                 1.3988,                0.72676,                 1.3517,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1307,                0.62015,                  1.185,                 0.8353,                 0.7502,                0.78886,                0.45977,                 1.3791,                 0.7019,                 1.3513,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.129,                0.61669,                 1.1786,                0.85179,                0.72918,                0.79009,                0.45359,                 1.3994,                0.71267,                 1.3549,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.128,                 0.6195,                 1.1794,                0.87695,                 0.7245,                0.79793,                 0.4603,                 1.3975,                0.69859,                 1.3505,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1351,                0.61989,                 1.1803,                0.86463,                0.72478,                0.79223,                0.45171,                 1.3846,                0.69981,                 1.3693,               0.000911,               0.000911,               0.000911
                     57,                 1.1057,                0.60872,                 1.1784,                0.87105,                0.71001,                0.78898,                0.45181,                  1.406,                0.69298,                 1.3637,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1142,                 0.6033,                 1.1643,                0.88204,                 0.7071,                0.79285,                0.45724,                 1.4072,                0.70454,                 1.3622,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1007,                0.60077,                 1.1643,                0.85181,                0.72476,                 0.7866,                0.44536,                 1.4082,                0.70744,                 1.3691,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0944,                 0.5934,                  1.164,                0.84606,                0.71552,                0.78881,                0.45074,                 1.4099,                0.72091,                 1.3523,              0.0008318,              0.0008318,              0.0008318
                     61,                  1.098,                0.59484,                  1.158,                0.86581,                0.72708,                0.79337,                0.45557,                  1.396,                0.72412,                 1.3631,               0.000812,               0.000812,               0.000812
                     62,                  1.082,                0.58962,                 1.1465,                 0.8494,                 0.7305,                0.79421,                0.45972,                 1.4006,                0.70128,                 1.3715,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0697,                0.57861,                  1.146,                0.85346,                0.74468,                0.80887,                0.46662,                 1.3974,                0.69069,                 1.3662,              0.0007724,              0.0007724,              0.0007724
                     64,                  1.066,                0.58174,                 1.1342,                 0.8609,                0.72419,                0.79959,                0.45014,                 1.4091,                0.70445,                 1.3827,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0639,                0.58084,                 1.1389,                0.85442,                0.74923,                0.79841,                0.45403,                 1.4123,                0.69969,                 1.3724,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0564,                0.57135,                 1.1397,                 0.8642,                0.73207,                0.79113,                0.45272,                 1.4104,                0.70582,                 1.3855,               0.000713,               0.000713,               0.000713
                     67,                 1.0448,                0.56414,                 1.1201,                 0.8605,                0.71789,                0.78643,                0.45733,                 1.3971,                0.71033,                 1.3769,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0351,                 0.5613,                 1.1205,                0.83709,                0.74907,                0.79114,                0.44871,                 1.4111,                0.70824,                 1.3851,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0239,                0.55746,                 1.1231,                0.87239,                0.71631,                 0.7842,                0.45137,                 1.3886,                0.71059,                 1.3765,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0309,                0.55491,                  1.118,                0.86175,                 0.7305,                 0.7919,                 0.4498,                 1.4131,                0.69784,                 1.3795,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0239,                0.55525,                 1.1099,                0.84965,                0.74704,                0.79363,                0.46196,                  1.383,                0.69479,                 1.3728,               0.000614,               0.000614,               0.000614
                     72,                 1.0222,                0.54991,                 1.1119,                0.86148,                0.73025,                0.78575,                0.45396,                 1.3878,                0.71431,                   1.38,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0166,                 0.5489,                 1.1132,                0.85524,                0.73522,                0.79335,                0.45942,                  1.378,                0.69412,                 1.3735,              0.0005744,              0.0005744,              0.0005744
                     74,                0.99905,                0.54097,                 1.1005,                0.86543,                0.72813,                0.79595,                0.45832,                 1.3849,                0.70462,                 1.3827,              0.0005546,              0.0005546,              0.0005546
                     75,                0.99045,                0.53177,                 1.0941,                0.86487,                0.73635,                0.79421,                0.45498,                 1.3777,                0.69769,                 1.3701,              0.0005348,              0.0005348,              0.0005348
                     76,                0.97861,                0.53139,                 1.0923,                0.84885,                0.71789,                0.78174,                0.45457,                 1.3929,                0.69926,                 1.3911,               0.000515,               0.000515,               0.000515
                     77,                0.97236,                0.52424,                 1.0973,                 0.8592,                0.72656,                0.78852,                0.46094,                 1.3845,                0.70699,                 1.3901,              0.0004952,              0.0004952,              0.0004952
                     78,                0.96331,                0.52012,                 1.0916,                 0.8559,                0.71001,                 0.7839,                0.45459,                 1.3828,                0.69973,                 1.3873,              0.0004754,              0.0004754,              0.0004754
                     79,                0.97281,                0.52489,                 1.0937,                0.87338,                0.71868,                0.79054,                 0.4594,                  1.384,                0.69518,                 1.3862,              0.0004556,              0.0004556,              0.0004556
                     80,                0.97432,                0.52633,                 1.0906,                0.84173,                0.72577,                0.78572,                0.45138,                 1.3944,                0.69352,                 1.4071,              0.0004358,              0.0004358,              0.0004358
                     81,                0.94648,                0.51629,                 1.0808,                 0.8479,                0.72734,                0.78887,                0.45313,                 1.3916,                0.69201,                 1.4009,               0.000416,               0.000416,               0.000416
                     82,                0.95499,                0.51466,                 1.0724,                0.85181,                0.73365,                 0.7959,                0.46296,                 1.3724,                0.68591,                 1.3851,              0.0003962,              0.0003962,              0.0003962
                     83,                0.94968,                0.51084,                 1.0807,                0.86019,                0.71755,                0.78639,                0.45382,                  1.397,                0.70379,                  1.406,              0.0003764,              0.0003764,              0.0003764
                     84,                0.93611,                 0.5058,                 1.0607,                0.83141,                0.73838,                0.79237,                0.45722,                 1.4053,                0.71464,                 1.4063,              0.0003566,              0.0003566,              0.0003566
                     85,                0.94891,                0.51077,                  1.074,                0.87523,                0.70055,                0.78851,                0.45558,                 1.3908,                0.70803,                 1.4035,              0.0003368,              0.0003368,              0.0003368
                     86,                0.92345,                0.50445,                 1.0643,                0.86512,                0.71946,                0.79436,                0.45326,                 1.3971,                0.69587,                 1.4008,               0.000317,               0.000317,               0.000317
                     87,                0.92319,                0.49533,                 1.0543,                0.85424,                0.72971,                0.79411,                0.45459,                 1.4038,                0.70411,                 1.4134,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.9094,                0.49369,                 1.0563,                0.85343,                0.74232,                0.79246,                0.45437,                 1.3951,                0.70352,                 1.4094,              0.0002774,              0.0002774,              0.0002774
                     89,                0.92809,                0.50523,                 1.0622,                0.84037,                0.75099,                0.79683,                0.45498,                  1.399,                0.69903,                 1.4062,              0.0002576,              0.0002576,              0.0002576
                     90,                0.92423,                0.49962,                 1.0567,                0.82851,                0.74619,                0.79653,                0.45675,                 1.3929,                0.69131,                 1.4025,              0.0002378,              0.0002378,              0.0002378
                     91,                0.86503,                0.46155,                 1.0339,                0.85473,                0.72104,                0.77871,                0.44431,                  1.404,                0.69976,                 1.4066,               0.000218,               0.000218,               0.000218
                     92,                 0.8515,                0.44714,                 1.0217,                0.86545,                0.73128,                0.78928,                0.45341,                 1.3972,                 0.6954,                 1.4125,              0.0001982,              0.0001982,              0.0001982
                     93,                0.83071,                0.44394,                 1.0146,                0.86662,                0.72703,                0.79134,                0.45179,                 1.3999,                0.70986,                 1.4182,              0.0001784,              0.0001784,              0.0001784
                     94,                0.82456,                 0.4406,                 1.0139,                0.85281,                0.74074,                0.78796,                0.45169,                 1.3973,                0.70093,                 1.4198,              0.0001586,              0.0001586,              0.0001586
                     95,                0.82024,                0.43739,                 1.0148,                0.85973,                0.72448,                 0.7811,                0.45291,                 1.4042,                0.70063,                 1.4231,              0.0001388,              0.0001388,              0.0001388
                     96,                0.82131,                0.43623,                 1.0063,                0.88237,                0.71868,                0.78825,                0.45349,                 1.3994,                0.69827,                  1.432,               0.000119,               0.000119,               0.000119
                     97,                0.81364,                0.43429,                 1.0076,                0.86844,                0.73345,                0.78966,                0.45564,                 1.3938,                0.69745,                 1.4214,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.80185,                0.42803,                  1.001,                0.86775,                0.72577,                0.79078,                 0.4574,                  1.394,                0.69919,                 1.4235,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.79563,                0.42313,                0.99442,                0.87351,                0.71789,                0.78634,                0.45486,                 1.4029,                0.70259,                 1.4281,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.78939,                0.42061,                0.99524,                0.87238,                0.71868,                0.78448,                0.45183,                 1.4021,                0.70426,                 1.4292,               3.98e-05,               3.98e-05,               3.98e-05
