                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.6116,                 1.0542,                  1.412,                  1.799,                 1.4608,                 1.3467,                 0.7567,                0.59653,                0.67542,                0.37921,                 1.4971,                 0.8932,                 1.2777,                 1.7129,                 1.2425,                 1.2516,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.6242,                 1.0564,                 1.4303,                 1.8135,                 1.4651,                 1.3594,                0.77539,                0.59259,                0.66704,                 0.3753,                 1.5036,                0.89703,                 1.2767,                 1.7407,                 1.2038,                 1.2589,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.5828,                 1.0256,                  1.392,                 1.7873,                 1.4167,                 1.3321,                0.82221,                0.59496,                0.68572,                 0.3943,                 1.4765,                0.88013,                 1.2602,                 1.7059,                 1.2061,                 1.2522,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.5847,                 1.0247,                 1.4062,                 1.7849,                 1.4179,                 1.3448,                0.77981,                0.60993,                 0.6741,                0.38555,                 1.4679,                0.87726,                 1.2557,                 1.6776,                 1.2064,                 1.2324,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.5799,                 1.0103,                 1.3969,                 1.7664,                 1.3905,                  1.335,                0.76692,                0.59635,                0.67607,                0.38378,                 1.4897,                 0.8732,                 1.2688,                 1.7054,                 1.2156,                 1.2502,               0.001505,               0.001505,               0.001505
                     28,                 1.5575,                 1.0038,                 1.3731,                  1.756,                 1.3965,                 1.3199,                0.79771,                0.60914,                0.69477,                0.39098,                 1.4916,                0.86226,                 1.2613,                  1.729,                 1.1673,                 1.2389,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.5719,                0.99834,                 1.3963,                 1.7626,                 1.3817,                 1.3431,                0.78053,                0.62217,                0.70652,                0.39733,                  1.454,                0.85832,                 1.2558,                 1.6606,                 1.1271,                 1.2366,              0.0014654,              0.0014654,              0.0014654
                     30,                  1.554,                0.99802,                 1.3709,                 1.7585,                 1.3749,                 1.3161,                 0.8044,                0.59102,                0.68578,                0.39076,                  1.465,                0.85364,                 1.2514,                 1.7177,                  1.159,                 1.2383,              0.0014456,              0.0014456,              0.0014456
                     31,                  1.556,                  0.981,                 1.3651,                 1.7495,                 1.3539,                 1.3102,                0.82748,                0.59496,                0.70469,                0.39964,                 1.4591,                0.87842,                 1.2425,                 1.6517,                 1.1624,                 1.2155,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.5163,                0.96633,                 1.3581,                 1.7161,                  1.325,                 1.3046,                0.80157,                 0.6271,                 0.7182,                0.40317,                 1.4234,                0.80703,                 1.2437,                 1.6563,                 1.0807,                  1.226,               0.001406,               0.001406,               0.001406
                     33,                 1.5154,                0.94279,                 1.3533,                 1.7175,                 1.2948,                 1.3035,                 0.8335,                0.61545,                0.71913,                0.41426,                 1.4126,                0.80947,                 1.2309,                 1.6526,                 1.0723,                 1.2148,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.5283,                0.95202,                 1.3472,                 1.7327,                 1.3255,                 1.2965,                0.80352,                0.61229,                0.70112,                0.39766,                 1.4497,                0.84162,                 1.2422,                 1.6607,                 1.1477,                 1.2126,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.4955,                0.93126,                 1.3372,                 1.6985,                 1.2779,                 1.2915,                0.80482,                0.63436,                0.71682,                0.40796,                 1.4342,                0.82215,                 1.2425,                 1.6347,                 1.1054,                 1.2058,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.4991,                0.91875,                 1.3258,                  1.714,                 1.2678,                 1.2848,                0.80263,                0.64539,                0.72889,                0.40548,                 1.4298,                0.78927,                 1.2362,                 1.6366,                 1.0585,                  1.211,              0.0013268,              0.0013268,              0.0013268
                     37,                  1.496,                 0.9196,                 1.3317,                 1.7146,                 1.2648,                 1.2902,                0.80327,                0.63278,                0.70475,                0.39662,                 1.4717,                0.82254,                 1.2463,                 1.6721,                 1.1119,                 1.2246,               0.001307,               0.001307,               0.001307
                     38,                 1.4815,                0.91413,                 1.3278,                 1.6853,                 1.2491,                 1.2842,                0.81148,                 0.6383,                0.71741,                0.40371,                  1.428,                0.82895,                 1.2325,                  1.662,                 1.1572,                 1.2155,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.471,                0.90794,                 1.3227,                 1.6691,                  1.224,                 1.2816,                0.82453,                0.62949,                0.72661,                0.41244,                 1.4637,                0.80025,                 1.2515,                  1.677,                 1.0269,                 1.2261,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.4712,                0.90688,                 1.3164,                 1.6751,                 1.2215,                 1.2735,                0.81808,                0.62648,                0.73657,                0.41846,                 1.4129,                0.79224,                 1.2374,                 1.6267,                 1.0465,                 1.2144,              0.0012476,              0.0012476,              0.0012476
                     41,                  1.467,                0.89023,                 1.3082,                 1.6807,                  1.205,                 1.2674,                0.83828,                0.62905,                0.72494,                0.40793,                 1.4758,                0.80253,                 1.2486,                 1.6856,                 1.0522,                 1.2245,              0.0012278,              0.0012278,              0.0012278
