                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.273,                0.70537,                 1.2589,                0.86964,                0.72022,                0.80379,                0.47475,                 1.3681,                0.69204,                 1.2773,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2592,                0.68771,                  1.237,                0.85055,                0.75099,                0.80726,                0.47229,                 1.3801,                0.68026,                 1.2943,               0.001307,               0.001307,               0.001307
                     37,                 1.2455,                0.68138,                 1.2386,                0.85793,                 0.7431,                0.80464,                 0.4694,                 1.3822,                0.69638,                 1.2874,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2272,                0.67791,                 1.2349,                0.87853,                0.72656,                0.80004,                0.46871,                 1.3808,                0.68993,                 1.2881,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2204,                0.67099,                 1.2286,                0.84547,                0.73601,                0.79723,                0.46267,                  1.418,                0.70492,                 1.3078,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2086,                0.66239,                 1.2119,                 0.8573,                0.74327,                0.79832,                0.47275,                 1.3727,                0.68141,                 1.2929,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2026,                0.65219,                  1.208,                0.86269,                0.72282,                0.79449,                0.46428,                 1.3938,                 0.7157,                 1.2996,               0.001208,               0.001208,               0.001208
                     42,                 1.1931,                0.65245,                 1.2058,                0.82344,                0.74239,                0.79017,                0.46437,                  1.382,                0.69919,                  1.289,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1956,                0.65019,                  1.209,                0.85835,                0.70672,                0.77881,                0.45111,                 1.4293,                0.70809,                 1.3228,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1684,                0.63399,                 1.1916,                0.85205,                0.73916,                0.80319,                 0.4657,                 1.4005,                0.68498,                 1.3014,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.144,                  0.615,                 1.1755,                0.85202,                0.73499,                0.80225,                0.46509,                 1.3873,                0.68939,                  1.301,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1482,                0.61402,                 1.1742,                0.84838,                0.73207,                0.79808,                 0.4655,                 1.3891,                0.69287,                 1.3037,               0.001109,               0.001109,               0.001109
                     47,                  1.122,                0.60607,                 1.1618,                  0.829,                 0.7431,                0.79163,                0.46226,                 1.3735,                0.67725,                 1.3032,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1432,                0.61638,                 1.1791,                 0.8609,                0.72498,                0.79282,                0.46488,                 1.3837,                0.67255,                  1.313,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1089,                0.59303,                 1.1545,                0.87566,                0.72892,                0.80093,                 0.4719,                 1.3615,                 0.6751,                 1.2973,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1116,                 0.5993,                 1.1586,                0.84458,                0.73444,                 0.7969,                0.45963,                 1.4058,                0.67859,                 1.3254,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0999,                0.59115,                 1.1415,                0.85293,                0.73122,                 0.7955,                0.46124,                 1.4064,                0.68134,                 1.3192,                0.00101,                0.00101,                0.00101
                     52,                 1.0855,                0.58784,                 1.1358,                0.85064,                0.73604,                0.79767,                 0.4641,                 1.3945,                0.66459,                 1.3145,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0553,                0.57298,                 1.1266,                 0.8472,                0.71656,                0.79073,                0.46781,                 1.3791,                0.67435,                 1.3227,              0.0009704,              0.0009704,              0.0009704
