                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3793,                0.89827,                 1.5246,                0.84558,                0.76374,                0.82207,                0.46997,                 1.4571,                0.85455,                 1.5861,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3839,                0.88781,                  1.518,                0.87515,                 0.7565,                0.82716,                0.46968,                 1.5027,                0.84527,                 1.6198,               0.001307,               0.001307,               0.001307
                     37,                 1.3636,                0.87306,                 1.5062,                0.89012,                0.73995,                0.82436,                0.47614,                 1.4433,                0.83912,                 1.5861,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3514,                0.86899,                  1.509,                0.84813,                0.77893,                0.84009,                0.48639,                 1.4368,                0.80153,                  1.591,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3417,                0.86378,                 1.5018,                 0.8591,                0.76395,                0.82415,                0.47991,                 1.4675,                0.84012,                 1.6128,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3469,                0.85499,                 1.4939,                0.82424,                0.74547,                0.81343,                0.46633,                 1.4724,                0.84007,                 1.6234,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3326,                0.84652,                 1.4824,                0.87395,                0.75256,                0.82804,                0.47586,                  1.459,                0.83908,                 1.5982,               0.001208,               0.001208,               0.001208
                     42,                 1.3118,                0.82403,                 1.4703,                0.88009,                0.76123,                0.83292,                  0.473,                 1.4666,                 0.8336,                 1.6016,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3185,                 0.8347,                 1.4717,                0.84916,                0.76202,                0.82561,                0.47638,                 1.4549,                0.82754,                 1.5875,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2993,                0.81464,                  1.452,                0.86581,                0.76281,                0.82999,                0.47788,                 1.4532,                0.80223,                 1.5989,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2786,                0.80062,                 1.4427,                0.86582,                0.76281,                0.82283,                 0.4792,                  1.443,                0.80693,                 1.5946,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2815,                0.78606,                 1.4457,                0.87587,                0.75571,                0.83159,                0.47629,                 1.4758,                0.84085,                 1.6032,               0.001109,               0.001109,               0.001109
                     47,                 1.2643,                0.78158,                 1.4236,                0.88836,                0.76044,                0.83797,                0.48673,                 1.4466,                0.79772,                 1.5991,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2717,                 0.7917,                 1.4335,                0.86337,                0.76359,                0.82701,                0.47533,                 1.4764,                0.82569,                 1.6264,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2534,                0.77087,                 1.4084,                0.88078,                0.76123,                0.83601,                0.48525,                 1.4576,                0.82051,                 1.5859,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.253,                0.77516,                 1.4176,                 0.8591,                0.76202,                0.82088,                 0.4794,                 1.4598,                0.81935,                 1.6094,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2494,                0.76404,                 1.4049,                0.85604,                0.76438,                 0.8283,                0.47571,                 1.4577,                 0.8216,                 1.6031,                0.00101,                0.00101,                0.00101
                     52,                 1.2391,                0.75707,                 1.3974,                0.85178,                0.74718,                0.81481,                0.47326,                 1.4652,                0.79484,                 1.6197,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1989,                0.73117,                 1.3696,                0.87234,                0.76466,                 0.8215,                0.47873,                 1.4646,                 0.7835,                 1.6257,              0.0009704,              0.0009704,              0.0009704
