                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4941,                0.89087,                 1.4116,                 1.7121,                 1.2057,                 1.3569,                0.81233,                0.64303,                0.72638,                0.41416,                 1.4251,                0.77935,                 1.2932,                 1.6974,                 1.0048,                 1.2729,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.4651,                0.86597,                 1.3788,                 1.6874,                 1.1636,                 1.3302,                  0.798,                0.65485,                0.73843,                 0.4291,                 1.4209,                0.75587,                 1.2874,                 1.6559,                0.99049,                 1.2679,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.4445,                0.85842,                 1.3877,                 1.6663,                 1.1601,                 1.3359,                0.80182,                0.65997,                0.74115,                0.41895,                 1.4364,                0.77229,                  1.297,                  1.688,                 0.9991,                 1.2747,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.4342,                0.83617,                 1.3696,                 1.6542,                  1.108,                 1.3243,                0.80186,                0.66194,                0.72321,                0.41698,                 1.4546,                0.78116,                  1.314,                 1.6817,                 1.0543,                 1.2857,               0.001505,               0.001505,               0.001505
                     28,                 1.4254,                0.83572,                 1.3525,                 1.6495,                 1.1128,                 1.3098,                0.81982,                0.62963,                0.72023,                 0.4091,                  1.445,                 0.7687,                 1.2981,                 1.7044,                 1.0164,                 1.2899,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.4347,                0.83892,                 1.3719,                   1.65,                 1.1133,                 1.3304,                0.80341,                0.66982,                0.73334,                0.41779,                 1.4209,                0.76749,                 1.2971,                 1.6744,                 0.9856,                 1.2802,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.4242,                0.84028,                 1.3562,                 1.6567,                 1.1143,                 1.3125,                0.81264,                0.64775,                0.72998,                0.39262,                 1.5326,                 0.7954,                 1.3323,                 1.7751,                 1.0252,                 1.3116,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.3975,                0.80957,                 1.3302,                  1.622,                 1.0718,                 1.2924,                0.82137,                0.63411,                0.72496,                0.41714,                 1.4375,                0.78691,                 1.3016,                 1.6703,                 1.0035,                 1.2706,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.3762,                0.79956,                 1.3357,                 1.5971,                 1.0499,                 1.2934,                0.80623,                0.66887,                0.74857,                0.42882,                 1.3975,                0.73203,                 1.2957,                 1.6598,                  0.932,                 1.2758,               0.001406,               0.001406,               0.001406
                     33,                 1.3703,                0.78369,                 1.3266,                 1.5884,                 1.0307,                 1.2846,                0.80935,                0.66907,                0.75188,                 0.4319,                  1.414,                0.74222,                 1.2869,                 1.6467,                0.92454,                 1.2725,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.3808,                0.78814,                  1.319,                 1.6051,                 1.0384,                 1.2777,                0.83574,                0.66667,                0.75581,                0.43163,                 1.3983,                0.73562,                 1.2877,                 1.6371,                0.97026,                 1.2672,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.3553,                0.77813,                 1.3129,                 1.5752,                  1.008,                 1.2772,                0.84147,                0.65248,                0.74454,                 0.4307,                  1.416,                0.78872,                 1.2882,                 1.6224,                 1.0217,                 1.2656,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3443,                0.76117,                   1.29,                 1.5741,                 0.9922,                 1.2586,                0.82829,                0.66522,                0.74337,                0.42303,                 1.3915,                0.72043,                 1.3013,                 1.6905,                0.92601,                 1.2916,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3318,                0.75618,                 1.2991,                 1.5709,                0.99239,                 1.2661,                0.78053,                0.68943,                0.73814,                0.41844,                 1.4495,                  0.749,                 1.3201,                 1.6648,                0.99757,                  1.291,               0.001307,               0.001307,               0.001307
                     38,                 1.3265,                0.75617,                 1.2986,                 1.5492,                0.98237,                 1.2666,                0.79773,                0.67131,                0.73346,                0.42762,                 1.4124,                0.75997,                 1.3023,                 1.6355,                 1.0217,                 1.2719,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3197,                0.74943,                 1.2895,                 1.5334,                0.95933,                 1.2612,                0.84434,                0.65721,                0.75657,                0.42702,                 1.4302,                 0.7298,                 1.3116,                 1.6727,                0.94154,                 1.2922,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3065,                0.73689,                 1.2754,                 1.5294,                0.94501,                 1.2455,                0.80768,                0.67928,                0.75332,                0.42975,                 1.4213,                0.72009,                 1.3052,                 1.6507,                0.91098,                 1.2801,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3015,                0.73228,                 1.2719,                 1.5305,                 0.9502,                 1.2447,                0.82629,                0.69425,                0.76532,                0.43804,                 1.4012,                0.73905,                 1.3042,                 1.6261,                0.93495,                 1.2795,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2771,                0.71339,                 1.2607,                 1.5043,                0.91592,                 1.2373,                0.81668,                0.69188,                0.76155,                0.43376,                 1.3826,                0.73259,                 1.2894,                 1.6351,                0.92922,                 1.2732,               0.001208,               0.001208,               0.001208
                     43,                 1.2873,                0.72713,                  1.267,                 1.5182,                 0.9359,                 1.2423,                0.80667,                0.69048,                0.74848,                0.42452,                 1.4306,                0.72847,                 1.3316,                 1.6368,                 0.9589,                 1.2997,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2584,                0.70312,                 1.2469,                 1.4937,                0.90389,                 1.2224,                0.82608,                0.68716,                0.75711,                0.42616,                 1.4138,                0.71509,                 1.3129,                 1.6524,                0.88623,                 1.2955,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.253,                0.69381,                  1.243,                 1.4776,                0.88156,                 1.2193,                0.81553,                0.69031,                0.75746,                0.43429,                  1.389,                 0.7169,                 1.3104,                 1.6292,                0.91263,                 1.2889,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2511,                0.68859,                 1.2373,                 1.4748,                0.86298,                 1.2213,                0.81167,                0.69661,                0.75814,                0.43851,                 1.3898,                0.70404,                    1.3,                 1.6258,                0.88847,                   1.28,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2344,                0.69067,                 1.2262,                  1.467,                0.87159,                 1.2116,                0.81681,                0.68479,                0.74503,                 0.4318,                 1.3949,                0.72836,                 1.3014,                   1.63,                 0.9152,                   1.29,               0.001109,               0.001109,               0.001109
                     48,                 1.2414,                0.69019,                 1.2377,                 1.4709,                0.87794,                 1.2183,                0.81708,                0.68558,                0.75608,                0.42356,                  1.437,                0.71331,                 1.3378,                 1.6665,                0.91411,                 1.3131,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2131,                0.67314,                 1.2151,                 1.4444,                0.84618,                 1.1959,                0.82498,                0.70449,                0.76088,                0.43628,                 1.4049,                0.71104,                 1.3135,                 1.6393,                0.88399,                 1.3002,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2275,                0.67651,                 1.2221,                 1.4623,                0.85355,                 1.2056,                0.81662,                0.69133,                 0.7485,                0.42069,                 1.4429,                0.72721,                 1.3316,                  1.701,                0.93165,                 1.3132,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2122,                0.66766,                 1.2058,                 1.4455,                0.83499,                 1.1887,                0.79749,                0.72025,                0.76296,                0.42858,                 1.4267,                0.70738,                 1.3266,                 1.6603,                0.89837,                  1.309,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.2015,                0.66286,                 1.2013,                 1.4382,                0.83424,                 1.1883,                0.80658,                0.71474,                0.76123,                0.44007,                 1.3773,                0.69741,                 1.3077,                 1.5975,                 0.8755,                 1.2891,                0.00101,                0.00101,                0.00101
                     53,                 1.1693,                 0.6477,                 1.1893,                 1.4048,                0.79844,                  1.178,                0.83124,                0.69346,                0.75838,                0.43787,                 1.3716,                0.70595,                 1.3077,                 1.6006,                0.89467,                 1.2849,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1853,                0.64406,                 1.1938,                 1.4089,                0.79872,                 1.1796,                0.84171,                 0.6911,                0.75717,                0.43812,                 1.3943,                0.70233,                 1.3178,                  1.637,                0.88159,                 1.3053,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.1628,                0.64239,                  1.185,                 1.4048,                0.80276,                 1.1748,                0.85612,                0.67521,                0.75332,                0.44376,                 1.3821,                0.71865,                 1.3062,                 1.6211,                0.87515,                 1.2896,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.1785,                0.64978,                 1.1892,                 1.4082,                 0.8131,                 1.1741,                0.81816,                0.69138,                0.75183,                0.43392,                 1.4028,                  0.719,                 1.3351,                 1.6471,                0.94016,                 1.3091,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1485,                0.63392,                  1.188,                 1.3878,                0.78463,                 1.1743,                0.81239,                0.71158,                0.76693,                0.44135,                 1.3939,                0.69491,                 1.3127,                 1.6096,                0.87385,                  1.286,               0.000911,               0.000911,               0.000911
                     58,                 1.1458,                0.62781,                 1.1667,                 1.3861,                0.77144,                 1.1572,                0.84154,                0.69891,                0.76453,                0.43565,                 1.4222,                0.71537,                   1.33,                 1.6696,                0.88789,                 1.3141,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1288,                0.62228,                 1.1664,                 1.3664,                0.77193,                 1.1564,                0.81868,                0.68668,                0.74608,                0.42934,                 1.3949,                0.70431,                 1.3441,                  1.626,                0.86643,                 1.3256,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.1287,                0.61626,                 1.1676,                 1.3603,                0.75821,                   1.16,                0.82413,                0.69031,                0.75797,                0.43701,                 1.3927,                0.70471,                 1.3224,                 1.6476,                0.88213,                  1.325,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.131,                0.62078,                 1.1621,                 1.3688,                0.76757,                 1.1526,                0.79253,                0.71316,                0.76467,                0.44636,                 1.3775,                0.69875,                 1.3217,                 1.6116,                0.88251,                 1.3061,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.1115,                0.61077,                  1.149,                 1.3426,                0.74694,                 1.1392,                0.84779,                0.69031,                0.76729,                 0.4411,                 1.4086,                0.69866,                 1.3369,                  1.632,                0.85837,                  1.322,               0.000812,               0.000812,               0.000812
                     63,                 1.1178,                0.60954,                 1.1565,                 1.3507,                0.75157,                  1.145,                0.81902,                0.71679,                 0.7708,                0.44291,                 1.3938,                0.69272,                 1.3311,                 1.6289,                 0.8409,                 1.3244,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.1062,                0.60229,                 1.1423,                 1.3441,                0.74504,                 1.1365,                0.81341,                0.72483,                0.77891,                0.44599,                 1.3772,                0.69144,                 1.3236,                 1.6074,                  0.865,                 1.3099,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1045,                0.60547,                 1.1461,                 1.3521,                0.74947,                 1.1385,                0.83463,                0.68407,                 0.7602,                0.43748,                 1.4041,                0.70987,                 1.3303,                 1.6492,                0.87757,                 1.3222,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0969,                0.60198,                 1.1487,                 1.3339,                0.73602,                 1.1409,                 0.8478,                 0.6911,                0.76445,                0.43612,                 1.4067,                0.69724,                 1.3302,                 1.6521,                0.87386,                 1.3208,              0.0007328,              0.0007328,              0.0007328
                     67,                  1.087,                0.59489,                 1.1284,                 1.3278,                0.73296,                 1.1232,                0.81032,                0.71707,                0.77228,                0.44522,                 1.4003,                0.69673,                 1.3397,                 1.6347,                0.85508,                 1.3296,               0.000713,               0.000713,               0.000713
                     68,                 1.0619,                 0.5819,                 1.1226,                 1.2922,                0.70398,                  1.118,                0.83639,                0.69976,                0.76543,                0.43831,                 1.4018,                0.69688,                 1.3536,                 1.6405,                0.87087,                 1.3394,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.0695,                0.58719,                 1.1324,                 1.3059,                0.71737,                  1.128,                0.83067,                0.70213,                0.76843,                 0.4418,                 1.4072,                0.70574,                 1.3489,                 1.6323,                0.88883,                 1.3256,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.0677,                0.58245,                 1.1252,                 1.3064,                0.71805,                 1.1209,                0.82517,                0.71041,                0.77176,                 0.4424,                 1.4083,                0.69024,                 1.3532,                 1.6409,                0.84769,                 1.3442,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0568,                 0.5795,                 1.1153,                 1.2969,                0.71621,                 1.1117,                 0.8477,                0.69738,                0.77275,                0.44473,                 1.3857,                0.69329,                 1.3355,                 1.6116,                0.85007,                   1.32,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0554,                0.57362,                 1.1152,                 1.3022,                 0.7051,                 1.1145,                0.83886,                 0.6974,                0.76518,                0.43474,                 1.4081,                0.70859,                 1.3468,                  1.647,                0.87286,                 1.3294,               0.000614,               0.000614,               0.000614
                     73,                  1.053,                0.57132,                  1.117,                 1.2923,                0.69987,                 1.1126,                0.83941,                0.70213,                0.76965,                0.43951,                 1.4147,                0.69611,                 1.3611,                 1.6383,                0.87573,                 1.3381,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0359,                0.56302,                 1.1058,                 1.2723,                0.68531,                 1.1016,                0.84657,                0.69661,                0.75735,                0.43159,                 1.3968,                0.68872,                 1.3629,                 1.6344,                0.86473,                 1.3422,              0.0005744,              0.0005744,              0.0005744
                     75,                   1.02,                0.55563,                 1.0969,                 1.2565,                0.67008,                 1.0954,                0.85207,                0.68991,                0.76941,                0.43922,                 1.3892,                0.68737,                 1.3463,                 1.6222,                 0.8587,                 1.3287,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.0097,                0.55189,                 1.0916,                 1.2512,                0.67155,                 1.0903,                0.84844,                0.71001,                 0.7716,                0.43772,                 1.3792,                0.68506,                 1.3519,                 1.6263,                0.85547,                 1.3417,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0088,                0.54939,                 1.1022,                  1.239,                0.66189,                 1.0998,                0.84826,                0.70923,                 0.7709,                0.43657,                 1.3905,                0.69119,                 1.3526,                 1.6305,                0.84771,                 1.3447,               0.000515,               0.000515,               0.000515
                     78,                      1,                0.54734,                 1.0971,                 1.2381,                0.66301,                 1.0958,                0.82869,                0.71158,                0.76612,                0.44236,                 1.3786,                 0.6948,                 1.3501,                  1.615,                0.86317,                 1.3371,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.0109,                0.54826,                 1.0992,                 1.2407,                0.66075,                 1.0979,                0.81743,                0.71622,                0.76823,                0.43887,                 1.3907,                0.67875,                 1.3638,                 1.6313,                0.84571,                 1.3445,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.0159,                 0.5514,                 1.0972,                  1.248,                0.66462,                 1.0969,                0.82207,                0.71552,                  0.767,                0.43499,                 1.3909,                0.69392,                 1.3653,                 1.6314,                0.85551,                 1.3491,              0.0004556,              0.0004556,              0.0004556
                     81,                 0.9796,                0.53779,                 1.0862,                 1.2108,                0.65008,                 1.0873,                0.83115,                0.69434,                0.76344,                0.43703,                 1.3922,                0.69796,                 1.3586,                 1.6291,                0.86856,                 1.3443,              0.0004358,              0.0004358,              0.0004358
                     82,                0.99044,                0.54212,                 1.0778,                  1.227,                0.64954,                 1.0756,                0.83585,                0.72025,                0.76708,                0.44038,                 1.3833,                0.69607,                 1.3639,                 1.6201,                0.88489,                 1.3527,               0.000416,               0.000416,               0.000416
                     83,                0.97771,                0.53614,                 1.0847,                 1.2148,                0.64333,                 1.0849,                0.82693,                0.70607,                0.75983,                0.43674,                 1.3946,                0.69857,                 1.3603,                 1.6286,                0.87697,                 1.3494,              0.0003962,              0.0003962,              0.0003962
                     84,                0.96879,                0.52791,                 1.0648,                 1.2094,                0.63425,                 1.0659,                0.82158,                0.70607,                0.76385,                0.43666,                 1.3923,                0.69786,                 1.3716,                 1.6297,                0.86516,                 1.3533,              0.0003764,              0.0003764,              0.0003764
                     85,                0.98496,                0.53546,                 1.0828,                 1.2181,                 0.6362,                 1.0812,                0.84666,                0.70049,                0.76293,                0.43947,                 1.3921,                0.70193,                 1.3652,                 1.6271,                0.88341,                  1.356,              0.0003566,              0.0003566,              0.0003566
                     86,                0.96458,                0.52688,                 1.0719,                  1.204,                0.62957,                 1.0719,                0.83565,                0.69661,                0.76974,                0.44094,                 1.3862,                0.69415,                 1.3713,                 1.6169,                0.87641,                 1.3491,              0.0003368,              0.0003368,              0.0003368
                     87,                0.96084,                0.52003,                 1.0629,                 1.2026,                0.62659,                 1.0619,                0.82016,                0.72592,                0.77216,                0.44061,                 1.4056,                0.70475,                 1.3786,                 1.6301,                0.87725,                 1.3557,               0.000317,               0.000317,               0.000317
                     88,                0.94374,                0.51662,                 1.0616,                 1.1762,                0.61205,                 1.0626,                0.83105,                0.72813,                0.76873,                0.44247,                 1.3847,                0.69301,                 1.3684,                  1.622,                0.86545,                  1.357,              0.0002972,              0.0002972,              0.0002972
                     89,                0.95668,                0.52453,                 1.0648,                 1.1893,                0.62919,                 1.0655,                0.82313,                0.73128,                0.77021,                0.43805,                 1.3826,                0.69203,                  1.364,                 1.6228,                0.86302,                  1.351,              0.0002774,              0.0002774,              0.0002774
                     90,                0.95706,                0.52108,                 1.0597,                 1.1852,                 0.6189,                 1.0618,                0.84148,                0.70449,                 0.7672,                0.43636,                 1.3839,                0.69091,                 1.3772,                 1.6411,                0.85155,                 1.3713,              0.0002576,              0.0002576,              0.0002576
                     91,                0.90447,                0.48895,                 1.0407,                 1.1071,                0.54861,                 1.0405,                0.82351,                 0.7037,                0.75731,                0.43323,                 1.4218,                 0.6985,                 1.3872,                 1.6686,                0.87841,                 1.3712,              0.0002378,              0.0002378,              0.0002378
                     92,                0.88659,                0.47373,                 1.0265,                 1.0902,                0.52819,                 1.0272,                0.82843,                0.69251,                0.75313,                0.43459,                 1.3978,                0.70025,                 1.3825,                 1.6483,                0.88354,                 1.3624,               0.000218,               0.000218,               0.000218
                     93,                0.87291,                0.46634,                 1.0226,                 1.0575,                0.50704,                 1.0252,                0.86056,                  0.684,                  0.759,                0.43918,                 1.4018,                0.70674,                 1.3891,                 1.6449,                0.88194,                 1.3676,              0.0001982,              0.0001982,              0.0001982
                     94,                0.86403,                0.46031,                 1.0216,                 1.0572,                0.50635,                 1.0242,                0.80954,                0.71316,                0.75522,                0.43264,                 1.3856,                 0.6923,                 1.3871,                 1.6322,                0.86769,                 1.3667,              0.0001784,              0.0001784,              0.0001784
                     95,                0.85759,                0.46039,                 1.0204,                 1.0511,                0.50284,                  1.021,                0.82391,                0.70793,                0.75824,                0.43369,                 1.3978,                0.69111,                 1.3868,                 1.6422,                 0.8685,                 1.3646,              0.0001586,              0.0001586,              0.0001586
                     96,                0.85711,                 0.4613,                 1.0123,                 1.0663,                0.51096,                 1.0147,                 0.8214,                0.71316,                0.76007,                0.43295,                 1.4074,                0.69587,                 1.3934,                 1.6427,                 0.8829,                 1.3661,              0.0001388,              0.0001388,              0.0001388
                     97,                0.85193,                0.45441,                 1.0133,                 1.0449,                0.49822,                  1.015,                0.81891,                0.71981,                0.75906,                0.43572,                 1.3891,                0.70188,                 1.3878,                 1.6196,                0.88763,                 1.3647,               0.000119,               0.000119,               0.000119
                     98,                0.83252,                0.44822,                 1.0048,                 1.0235,                0.49525,                 1.0044,                0.84693,                0.70199,                0.76342,                0.43723,                   1.39,                  0.699,                  1.398,                 1.6229,                0.87907,                 1.3699,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.83157,                0.44574,                0.99798,                 1.0218,                0.48097,                0.99999,                0.81811,                0.72104,                0.75972,                 0.4356,                 1.3967,                0.69971,                 1.4002,                 1.6302,                 0.8806,                 1.3697,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.82679,                0.44129,                0.99925,                 1.0185,                0.48481,                 1.0008,                0.82642,                 0.7171,                0.75943,                0.43843,                  1.392,                0.69897,                 1.3929,                 1.6258,                0.87165,                 1.3674,               5.96e-05,               5.96e-05,               5.96e-05
