                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4751,                0.90402,                  1.342,                0.86841,                0.66194,                0.74895,                0.43261,                 1.4433,                0.81685,                 1.2613,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4711,                0.88821,                 1.3249,                0.86716,                0.67533,                0.76057,                0.43732,                 1.4453,                0.78683,                 1.2673,               0.001307,               0.001307,               0.001307
                     37,                 1.4547,                0.87779,                 1.3278,                0.85031,                0.66194,                0.75281,                0.43696,                 1.4451,                0.80273,                 1.2704,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4421,                0.87099,                 1.3216,                0.85883,                0.68085,                0.76378,                0.43863,                 1.4525,                0.78261,                 1.2725,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.4481,                0.87201,                 1.3253,                0.86079,                0.67928,                0.76365,                0.44309,                 1.4495,                0.77184,                 1.2678,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.4348,                0.85719,                 1.3098,                0.87116,                0.67849,                0.76688,                 0.4418,                 1.4565,                0.78791,                 1.2639,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4255,                0.84561,                 1.3022,                0.82944,                 0.6936,                0.75804,                0.42754,                 1.4778,                0.80293,                 1.2738,               0.001208,               0.001208,               0.001208
                     42,                 1.4158,                0.83698,                 1.3023,                0.84423,                 0.6919,                0.76411,                0.44321,                 1.4405,                0.78247,                  1.271,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4299,                0.85176,                 1.3098,                 0.8995,                0.65879,                0.76774,                0.44623,                 1.4463,                0.77053,                 1.2654,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.406,                0.83502,                  1.295,                0.86626,                  0.684,                0.76128,                0.42807,                 1.4936,                 0.7844,                 1.2764,              0.0011486,              0.0011486,              0.0011486
